8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,6,DSTO,DEAD,,100,100
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,7,PAST,DEAD,,100,100
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,8,SBOU,NONE,56,,0
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,1,SSID,NONE,7,,0
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,2,SSID,MIS,,,Coral Missing
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,3,SBOU,SED,21,,0
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,4,PAST,MIS,,,Coral Missing
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,5,SSID,DEAD,,100,100
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,6,SBOU,SA,19,,0
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,7,SBOU,WP,16,,30
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,1,SSID,DS,14,5,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,2,MCAV,P,42,15,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,3,PAST,NONE,10,,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,4,SSID,UPM,6,15,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,5,SINT,NONE,10,,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,6,MCAV,PE,35,15,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,6,MCAV,UPM,35,15,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,7,DSTO,NONE,5,,
8/10/16,PC,R2NC2,3,WP,,,,,,,,,,,3,,Scleractinian,,N,8,SINT,NONE,5,,
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,8,PAST,MIS,,,Coral Missing
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,9,DSTO,SED,13,,0
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,10,PAST,FB,,,0
8/10/16,PC,HBN3,2,WP,,,,,,,,,23,15,2,7,Scleractinian,,Y,10,PAST,SA,,,0
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,1,DCLI,SED,37,,0
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,2,ODIF,DEAD,,100,100
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,3,SBOU,P,35,,0
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,4,SBOU,DEAD,,100,100
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,5,DSTO,DEAD,,100,100
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,6,DSTO,MIS,,,Coral Missing
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,7,ODIF,DEAD,,100,100
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,1,SINT,NONE,8,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,2,PAST,M,10,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,2,PAST,SA,10,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,3,SSID,SA,7,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,4,SBOU,NONE,14,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,5,PPOR,NONE,5,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,6,SSID,NONE,4,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,7,SSID,NONE,3,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,8,PAST,NONE,9,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,9,SSID,NONE,3,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,10,SSID,NONE,10,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,11,PAST,NONE,7,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,12,PAST,NONE,3,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,13,SBOU,NONE,6,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,14,PPOR,NONE,4,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,15,PPOR,FB,14,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,16,PAST,M,11,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,16,PAST,SA,11,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,17,SINT,UPM,8,,
8/17/16,PC,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,18,DSTO,NONE,7,,
8/17/16,PC ,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,19,SSID,NONE,3,,
8/17/16,PC ,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,20,DSTO,NONE,4,,
8/17/16,PC ,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,21,SINT,NONE,3,,
8/17/16,PC ,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,22,MCAV,PE,15,,
8/17/16,PC ,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,23,PAST,M,12,,
8/17/16,PC ,R2S1,1,WP,,,,,,,,,,19,1,,Scleractinian,,N,23,PAST,SA,12,,
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,8,SSID,UPM,8,,70
8/10/16,PC,HBN3,3,JC,,,,,,,,,23,15,3,8,Scleractinian,,Y,9,SSID,NONE,12,,0
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,1,DSTO,DEAD,,100,100
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,2,SBOU,WP,,,50
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,2,SBOU,PM,,,50
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,3,SBOU,DEAD,,100,100
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,4,SINT,MIS,,,Coral Missing
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,5,DSTO,DEAD,,100,100
8/9/16,PC,HBNC1,1,WP,,,,,,,,,12,6,1,5,Scleractinian,,Y,6,SBOU,P,9,,20
8/9/16,PC,HBNC1,2,WP,,,,,,,,,12,6,2,2,Scleractinian,,Y,1,SBOU,DEAD,,100,100
8/9/16,PC,HBNC1,2,WP,,,,,,,,,12,6,2,2,Scleractinian,,Y,2,SBOU,MIS,,,Coral Missing
8/9/16,PC,HBNC1,2,WP,,,,,,,,,12,6,2,2,Scleractinian,,Y,3,SBOU,RMS,20,,0
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,1,SINT,NONE,14,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,2,PAST,NONE,8,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,3,DSTR,NONE,4,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,4,SSID,BL,4,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,5,SSID,NONE,3,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,6,PAST,CM,7,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,7,DSTO,NONE,7,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,8,SBOU,NONE,12,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,9,DSTO,NONE,10,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,10,SINT,NONE,8,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,11,SSID,NONE,3,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,12,PAST,NONE,8,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,13,SINT,CM,10,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,14,SBOU,NONE,20,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,15,SSID,NONE,12,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,16,SSID,NONE,4,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,17,PPOR,NONE,5,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,18,PAST,NONE,8,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,19,PAST,NONE,10,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,20,SSID,BL,5,,
8/17/16,PC ,R2S1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,21,PAST,NONE,14,,
8/9/16,PC,HBNC1,2,WP,,,,,,,,,12,6,2,2,Scleractinian,,Y,3,SBOU,P,20,,0
8/9/16,PC,HBNC1,3,WP,,,,,,,,,12,6,3,5,Scleractinian,,Y,1,SINT,CM,15,,50
8/9/16,PC,HBNC1,3,WP,,,,,,,,,12,6,3,5,Scleractinian,,Y,2,DSTO,DEAD,,100,100
8/9/16,PC,HBNC1,3,WP,,,,,,,,,12,6,3,5,Scleractinian,,Y,3,SBOU,PB,6,,0
8/9/16,PC,HBNC1,3,WP,,,,,,,,,12,6,3,5,Scleractinian,,Y,3,SBOU,PM,6,,0
8/9/16,PC,HBNC1,3,WP,,,,,,,,,12,6,3,5,Scleractinian,,Y,4,SINT,P,13,,0
8/9/16,PC,HBNC1,3,WP,,,,,,,,,12,6,3,5,Scleractinian,,Y,5,DSTO,DEAD,,100,100
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,1,SSID,NONE,3,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,2,SINT,NONE,6,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,3,SSID,NONE,12,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,4,SSID,NONE,5,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,5,SSID,NONE,8,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,6,PAST,NONE,12,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,7,SBOU,NONE,10,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,8,PAST,NONE,5,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,9,PAST,FB,10,,
8/17/16,PC ,R2S1,3,WP,,,,,,,,,,,3,,Scleractinian,,N,10,PAST,NONE,12,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,1,SINT,NONE,5,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,2,SINT,NONE,6,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,3,SRAD,NONE,3,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,4,CNAT,NONE,3,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,5,SINT,NONE,4,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,6,SINT,CM,4,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,,,1,,Scleractinian,,N,7,DSTO,NONE,2.5,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,1,SINT,P,7,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,2,DSTO,NONE,,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,3,SINT,NONE,10,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,4,DSTO,NONE,12,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,5,DSTR,NONE,17,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,6,SINT,P,3,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,7,SSID,NONE,4,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,8,FFRA,NONE,2,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,9,FFRA,NONE,2,,
8/9/16,PC,HBS3,2,WP,,,,,,,,,,,2,,Scleractinian,,N,10,SRAD,NONE,2,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,1,SINT,NONE,6,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,2,SSID,NONE,5,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,3,SSID,NONE,4,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,4,SINT,P,15,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,4,SINT,PM,15,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,5,SINT,PM,,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,6,SINT,NONE,3,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,7,DSTO,NONE,6,,
8/9/16,PC,HBS3,3,WP,,,,,,,,,,,3,,Scleractinian,,N,8,SINT,NONE,8,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,1,SSID,NONE,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,2,MCAV,NONE,6,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,3,SSID,DS,7,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,3,SSID,UPM,7,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,4,MCAV,CM,46,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,5,PAST,FB,5,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,6,SBOU,NONE,7,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,7,PAST,NONE,7,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,8,SSID,BL,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,9,PAST,NONE,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,10,PAST,NONE,11,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,11,PAST,UPM,11,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,12,SSID,BL,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,13,SSID,BL,4,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,14,SSID,NONE,9,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,15,SSID,BL,5,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,16,SSID,BL,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,17,PAST,NONE,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,18,SSID,BL,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,19,SINT,P,7,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,20,SINT,NONE,5,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,21,SINT,NONE,5,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,22,SSID,NONE,11,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,23,SSID,BL,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,24,SSID,CM,40,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,24,SSID,UPM,40,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,25,PAST,NONE,10,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,26,PAST,NONE,13,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,27,PAST,NONE,13,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,28,SSID,NONE,11,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,29,SSID,DS,12,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,30,PPOR,FB,3,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,31,SINT,NONE,7,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,32,PAST,CM,16,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,33,PAST,NONE,9,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,34,SSID,NONE,5,,
8/11/16,PC,R2NC1,1,WP,,,,,,,,,,,1,,Scleractinian,,N,35,PPOR,FB,3,,
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,1,SBOU,UPM,15,,70
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,1,SBOU,PM,15,,70
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,2,CNAT,DEAD,,100,100
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,3,MMEA,DEAD,,100,100
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,4,MMEA,DEAD,,100,100
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,5,MMEA,DEAD,,100,100
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,6,DSTO,DEAD,,100,100
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,7,SINT,NONE,17,,0
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,8,SINT,CM,10,,15
8/9/16,PC,HBS3,1,WP,,,,,,,,,26,9,1,9,Scleractinian,,Y,9,DSTO,DEAD,,100,100
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,1,DSTO,NONE,7,,0
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,2,ODIF,NONE,,,95
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,3,DSTO,DEAD,,100,100
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,4,DSTO,DEAD,,100,100
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,5,DSTO,DEAD,,100,100
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,6,MMEA,DEAD,,100,100
8/9/16,PC,HBS3,2,WP,,,,,,,,,26,9,2,9,Scleractinian,,Y,7,DSTO,DEAD,,100,100
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,1,SSID,NONE,8,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,2,AAGA,NONE,12,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,3,PAST,FB,12,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,4,SSID,DS,12,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,4,SSID,CM,12,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,5,PAST,NONE,13,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,6,SINT,CM,13,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,7,PAST,FB,19,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,8,MCAV,UPM,5,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,9,SSID,DS,10,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,10,SSID,BL,3,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,11,PAST,UPM,13,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,12,PAST,NONE,12,,
8/11/16,PC,R2NC1,2,WP,,,,,,,,,,,2,,Scleractinian,,N,13,PAST,FB,6,,
