Assessment Area ,Station ,Transect (NS or EW),25m Buoy,50m Buoy,Position (Meter Mark),Actual position (if altered),Sediment Depth (cm) / Excavation Depth ,Exposed Hardbottom ,Sediment over hardbottom,Sediment Only,"Type of sediments (sand, fines, mix)",Description (layers)
Reef 2_N_RR,R2N1-RR,NS,23.8,52,42,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,43,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,44,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,45,,0.1,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,46,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,47,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,48,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,49,,1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,50,,0.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,0,,0.9,,X,,Mixed,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,1,,0.3,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,2,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,3,,0.1,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,4,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,5,,0.5,,X,,Mixed,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,6,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,7,,1,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,8,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,9,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,10,,1.5,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,11,,0.9,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,12,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,13,,1,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,14,,0.7,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,15,,0.8,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,16,,1.9,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,17,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,18,,0.7,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,19,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,20,,1.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,21,,0.3,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,22,,0.8,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,23,,0.7,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,24,,0.3,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,25,,0.01,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,26,,1,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,27,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,28,28.1,0.2,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,29,,0.7,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,30,,0.8,,X,,Mixed,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,31,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,32,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,33,,2.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,34,,1,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,35,,1,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,36,36.2,1,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,37,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,38,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,39,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,40,,0.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,41,,0.3,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,42,,1.2,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,43,,0.7,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,44,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,45,,0.6,,X,,Fine,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,46,,0.6,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,47,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,48,,0.3,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,49,,0.3,,,,,
Reef 2_N_RR,R2N1-RR,EW,24,51.5,50,,0.6,,X,,Fine,
Reef 2_N_LR,R2N2-LR,EW,25,51,0,,0.4,,X,,Fine,
Reef 2_N_LR,R2N2-LR,EW,25,51,1,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,2,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,3,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,4,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,5,,0.5,,X,,Mixed,
Reef 2_N_LR,R2N2-LR,EW,25,51,6,,3.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,7,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,8,,8,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,9,,13,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,10,,9.5,,X,,Mixed,Mixed- no layers
Reef 2_N_LR,R2N2-LR,EW,25,51,11,,5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,12,,8.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,13,,5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,14,,5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,15,,9.5,,X,,Mixed,Mixed- no layers
Reef 2_N_LR,R2N2-LR,EW,25,51,16,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,17,,3.3,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,18,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,19,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,20,,0.5,,X,,Mixed,
Reef 2_N_LR,R2N2-LR,EW,25,51,21,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,22,,0.4,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,23,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,24,,0.8,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,25,,0.2,,X,,Fine,
Reef 2_N_LR,R2N2-LR,EW,25,51,26,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,27,,0.4,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,28,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,29,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,30,,15,,X,,Mixed,Mixed-no layers
Reef 2_N_LR,R2N2-LR,EW,25,51,31,,9,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,32,,11,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,33,,6.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,34,,8,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,35,,13,,X,,Mixed,Mixed- no layers
Reef 2_N_LR,R2N2-LR,EW,25,51,36,,6.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,37,,1.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,38,,6.8,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,39,,7,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,40,,13,,X,,Mixed,Mixed- no layers
Reef 2_N_LR,R2N2-LR,EW,25,51,41,,3,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,42,,5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,43,,1,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,44,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,45,,4,,X,,Mixed,Mixed-no layers
Reef 2_N_LR,R2N2-LR,EW,25,51,46,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,47,,2.5,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,48,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,49,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,EW,25,51,50,,0.5,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,0,,1,,X,,Mixed,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,1,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,2,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,3,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,4,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,5,,0.3,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,6,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,7,7.07,0.1,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,8,,0.4,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,9,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,10,,0.3,,X,,Mixed,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,11,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,12,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,13,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,14,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,15,,0.4,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,16,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,17,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,18,,0.8,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,19,,1.6,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,20,20.3,0.3,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,21,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,22,22.2,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,23,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,24,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,25,,0.3,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,26,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,27,,1,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,28,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,29,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,30,,0.5,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,31,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,32,,0.8,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,33,,0.6,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,34,,0.4,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,35,,0.4,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,36,,0.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,37,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,38,,1.3,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,39,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,40,,0.5,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,41,,5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,42,,2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,43,,2.8,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,44,,0.5,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,45,,0.4,,X,,Fine,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,46,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,47,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,48,,0.2,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,49,,0.4,,,,,
Reef 2_N_LR,R2N2-LR,NS,25.2,51.4,50,,0.5,,X,,Fine,
Reef 2_N_LR,R2N-75-LR,EW,23,51,0,,0.3,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,1,,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,2,,0.2,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,3,,0.2,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,4,,0.8,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,5,,0.3,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,6,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,7,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,8,,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,9,,0.1,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,10,,0.3,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,11,,0.8,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,12,,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,13,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,14,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,15,,0.3,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,16,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,17,,0.2,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,18,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,19,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,20,,0.2,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,21,,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,22,,0.6,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,23,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,24,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,25,25.1,0.6,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,26,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,27,27.1,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,28,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,29,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,30,30.1,0.4,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,31,,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,32,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,33,33.3,0.6,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,34,,0.7,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,35,,0.6,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,36,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,37,,0.4,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,38,38.1,0.7,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,39,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,40,,0.8,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,41,,0.5,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,42,,0,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,43,,2.1,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,44,,0.6,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,45,,0.5,,X,,Mixed,
Reef 2_N_LR,R2N-75-LR,EW,23,51,46,,0.2,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,47,47.1,2,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,48,,0.3,,,,,
Reef 2_N_LR,R2N-75-LR,EW,23,51,49,,0.8,,,,,
Reef 2_N_RR,R2N-75-LR,EW,23,51,50,,0.2,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,0,,0.4,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,1,,0.2,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,2,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,3,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,4,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,5,,0.5,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,6,,0.65,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,7,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,8,,0.15,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,9,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,10,,0.15,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,11,,0.25,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,12,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,13,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,14,,0.9,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,15,,1.55,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,16,,0.5,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,17,,0.3,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,18,,1.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,19,,0.3,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,20,,0.2,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,21,,1.7,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,22,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,23,,0.15,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,24,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,25,,0.2,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,26,,0.6,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,27,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,28,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,29,,0.45,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,30,,0.25,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,31,,3.0,,X,,Mixed,1 cm mixed/2cm coarse sand
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,32,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,33,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,34,,0.45,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,35,,0.35,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,36,,0.3,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,37,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,38,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,39,,0.3,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,40,,0.3,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,41,,0.15,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,42,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,43,,0.45,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,44,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,45,,0.25,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,46,,0.3,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,47,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,48,,0.8,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,49,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,EW,25.5,50.0,50,,0.15,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,0,,0.3,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,1,,0.25,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,2,,0.15,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,3,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,4,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,5,,0.3,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,6,,0.4,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,7,,0.25,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,8,,0.65,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,9,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,10,10.3,0.45,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,11,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,12,,0.25,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,13,,1.5,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,14,,1.7,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,15,,0.15,,X,,Mixed,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,16,,0.2,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,17,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,18,,1,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,19,,0.5,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,20,,1.65,,X,,Fine,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,21,,0.1,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,22,,0.8,,,,,
Reef 2_N_RR,R2N-75-RR,NS,32.1,50.0,23,,0.4,,,,,
